"crop_T1","fert_T1","doe_T1","unique_soil_T1","Cntrl_CO2_flux_ug_g_d","Cntrl_CO2_flux_ug_g_d_glu","Cntrl_CO2_flux_ug_g_d_soil","Cntrl_cum_CO2_flux_ug_g","Cntrl_cum_CO2_flux_ug_g_glu","Cntrl_cum_CO2_flux_ug_g_soil","glucose_CO2_flux_ug_g_d","glucose_CO2_flux_ug_g_d_glu","glucose_CO2_flux_ug_g_d_soil","glucose_cum_CO2_flux_ug_g","glucose_cum_CO2_flux_ug_g_glu","glucose_cum_CO2_flux_ug_g_soil","priming_CO2_flux_ug_g_d","priming_cum_CO2_flux_ug_g_soil","relativePE_cum_CO2_flux_ug_g_soil"
"Mxg","0N",114,18,7.60182616140304,NA,7.60182616140304,1424.18958855275,NA,1424.18958855275,7.43147975794377,0.349320906935194,7.08215885100858,1462.7727675076,145.311835732042,1317.46093177556,-0.51966731039446,-106.728656777191,-106.728656777191
"Mxg","0N",114,21,21.1227856193176,NA,21.1227856193176,3214.55465456184,NA,3214.55465456184,20.7001270322562,0.703801662850027,19.9963253694062,3462.80223155641,280.179050220292,3182.62318133612,-1.12646024991139,-31.9314732257217,-31.9314732257217
"Mxg","0N",114,23,24.6612183013769,NA,24.6612183013769,3694.32221582983,NA,3694.32221582983,25.7130760851407,0.799167847403826,24.9139082377369,4077.24270451708,247.780231503956,3829.46247301312,0.252689936359996,135.140257183297,135.140257183297
"Mxg","0N",132,17,12.650610978347,NA,12.650610978347,2632.42373344582,NA,2632.42373344582,15.0294070736255,0.319832426849476,14.7095746467761,3072.22548001308,181.060316115308,2891.16516389777,2.05896366842908,258.741430451953,258.741430451953
"Mxg","0N",132,18,7.72487133155213,NA,7.72487133155213,1563.23727252069,NA,1563.23727252069,7.61520001409587,0.347623680449692,7.26757633364618,1599.84636776133,151.569061980136,1448.27730578119,-0.457294997905957,-114.959966739498,-114.959966739498
"Mxg","0N",132,21,23.1663301570499,NA,23.1663301570499,3631.54859738874,NA,3631.54859738874,20.1637248429106,0.621162130709712,19.5425627122009,3825.7492787288,291.359968573066,3534.38931015574,-3.62376744484897,-97.1592872330025,-97.1592872330025
"Mxg","0N",132,23,24.8059525517717,NA,24.8059525517717,4140.82936176172,NA,4140.82936176172,26.158951188464,0.794919870248629,25.3640313182154,4548.10382590943,262.088789168431,4286.015036741,0.558078766443646,145.185674979284,145.185674979284
"Mxg","0N",146,17,12.7826474458122,NA,12.7826474458122,2811.38079768719,NA,2811.38079768719,14.6755127292794,0.303255023141125,14.3722577061383,3277.68265822299,185.305886439284,3092.37677178371,1.58961026032605,280.995974096517,280.995974096517
"Mxg","0N",146,18,7.64145192258237,NA,7.64145192258237,1670.21759943684,NA,1670.21759943684,7.75692545044622,0.353794912265437,7.40313053818078,1708.44332406757,156.522190751852,1551.92113331572,-0.238321384401589,-118.29646612112,-118.29646612112
"Mxg","0N",146,21,21.1963223064452,NA,21.1963223064452,3928.29710967897,NA,3928.29710967897,20.5407977647506,0.573774108560927,19.9670236561896,4113.32044743531,299.392806092919,3813.92764134239,-1.22929865025559,-114.369468336581,-114.369468336581
"Mxg","0N",146,23,23.8303897570434,NA,23.8303897570434,4474.45481836032,NA,4474.45481836032,27.8390675338943,0.78775569302494,27.0513118408694,4937.85077138395,273.11736887078,4664.73340251317,3.22092208382594,190.278584152847,190.278584152847
"Mxg","112N",5,14,15.3158948283783,NA,15.3158948283783,76.5794741418916,NA,76.5794741418916,34.3454045141208,9.08516101129446,25.2602435028264,171.727022570604,45.4258050564723,126.301217514132,9.94434867444805,49.7217433722403,49.7217433722403
"Mxg","112N",5,16,8.24500913268625,NA,8.24500913268625,41.2250456634313,NA,41.2250456634313,18.1676450818888,8.13096215460702,10.0366829272818,90.8382254094442,40.6548107730351,50.1834146364091,1.79167379459556,8.95836897297782,8.95836897297782
"Mxg","112N",5,20,15.3506427320109,NA,15.3506427320109,76.7532136600547,NA,76.7532136600547,22.3405631914772,5.67718586823487,16.6633773232424,111.702815957386,28.3859293411743,83.3168866162119,1.31273459123145,6.56367295615725,6.56367295615725
