factor,level,Day,Addition,mean_n,sd,se,pe_mean_n,pe_sd,pe_se,pe_perc_diff,var
Crop,Corn,24,Nitrogen,462.75,157.434,45.447,-48.443,12.516,3.613,-9.476,cum_CO2_flux_ug_g
Crop,Corn,31,Carbon,800.084,208.489,60.186,119.753,-3.679,-1.062,17.602,cum_CO2_flux_ug_g
Crop,Corn,31,Control,680.331,212.167,61.247,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,31,Nitrogen,610.43,228.857,66.065,-69.901,16.69,4.818,-10.275,cum_CO2_flux_ug_g
Crop,Corn,38,Carbon,970.049,265.529,76.652,157.165,10.826,3.125,19.334,cum_CO2_flux_ug_g
Crop,Corn,38,Control,812.884,254.703,73.526,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,38,Nitrogen,736.284,282.958,81.683,-76.601,28.255,8.156,-9.423,cum_CO2_flux_ug_g
Crop,Corn,47,Carbon,1186.048,340.323,98.243,207.433,28.036,8.093,21.197,cum_CO2_flux_ug_g
Crop,Corn,47,Control,978.615,312.287,90.149,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,47,Nitrogen,911.423,373.83,107.916,-67.192,61.544,17.766,-6.866,cum_CO2_flux_ug_g
Crop,Corn,54,Carbon,1368.605,416.338,120.187,240.207,46.308,13.368,21.287,cum_CO2_flux_ug_g
Crop,Corn,54,Control,1128.398,370.031,106.819,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,54,Nitrogen,1061.397,459.403,132.618,-67,89.373,25.8,-5.938,cum_CO2_flux_ug_g
Crop,Corn,60,Carbon,1495.55,464.729,134.156,262.57,60.06,17.338,21.296,cum_CO2_flux_ug_g
Crop,Corn,60,Control,1232.98,404.669,116.818,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,60,Nitrogen,1171.449,514.386,148.491,-61.531,109.717,31.673,-4.99,cum_CO2_flux_ug_g
Crop,Corn,67,Carbon,1612.701,505.989,146.066,276.057,66.995,19.34,20.653,cum_CO2_flux_ug_g
Crop,Corn,67,Control,1336.644,438.994,126.727,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,67,Nitrogen,1272.173,559.782,161.595,-64.47,120.788,34.869,-4.823,cum_CO2_flux_ug_g
Crop,Corn,76,Carbon,1767.085,569.617,164.434,286.878,75.769,21.873,19.381,cum_CO2_flux_ug_g
Crop,Corn,76,Control,1480.207,493.848,142.562,0,0,0,0,cum_CO2_flux_ug_g
Crop,Corn,76,Nitrogen,1404.258,620.808,179.212,-75.949,126.96,36.65,-5.131,cum_CO2_flux_ug_g
