sample,Day,sample_id,Crop,Treatment,Addition,CO2_flux_ug_g_d,cum_CO2_flux_ug_g
62,24,10,Miscanthus,0N,Carbon,38.7098910948924,809.263076624654
63,24,10,Miscanthus,0N,Nitrogen,28.2660069076275,644.637814156516
64,24,10,Miscanthus,336N,Control,13.7937605895727,330.77679462404
65,24,10,Miscanthus,336N,Carbon,16.1262229345243,451.494215791775
66,24,10,Miscanthus,336N,Nitrogen,11.9338663600737,293.886891015906
67,24,10,Miscanthus,0N,Control,43.2161614248433,831.490354036644
68,24,10,Miscanthus,0N,Carbon,44.4526629542706,840.667915847174
69,24,10,Miscanthus,0N,Nitrogen,44.2089782567447,857.40732260305
70,24,10,Miscanthus,112N,Control,38.4432919127897,757.275451717526
71,24,10,Miscanthus,112N,Carbon,45.1417905834904,898.342303706708
72,24,10,Miscanthus,112N,Nitrogen,36.4539801545726,689.5398762939
1,31,12,Corn,0N,Control,41.3781325219954,1004.8661272712
2,31,12,Corn,0N,Carbon,44.7716195026553,1158.86612538846
3,31,12,Corn,0N,Nitrogen,38.1594018039584,1001.47431512392
4,31,12,Corn,112N,Control,30.0338485713609,758.622592722247
5,31,12,Corn,112N,Carbon,36.5769791299102,876.436482707423
6,31,12,Corn,112N,Nitrogen,17.6947351437733,613.012381428128
7,31,12,Corn,0N,Control,15.9968215788772,499.762777735787
8,31,12,Corn,0N,Carbon,22.9467933559114,703.066930112383
9,31,12,Corn,0N,Nitrogen,13.2921187239993,428.437860914603
10,31,12,Corn,112N,Control,30.4096376579849,779.795702470471
11,31,12,Corn,112N,Carbon,35.9756313761717,895.082310390353
12,31,12,Corn,112N,Nitrogen,30.9545507803087,773.439525861986
13,31,12,Corn,336N,Control,10.4361749358356,381.819808353269
14,31,12,Corn,336N,Carbon,13.7911063615576,516.365427047759
15,31,12,Corn,336N,Nitrogen,10.8118246347551,377.638858874669
16,31,12,Corn,336N,Control,13.1630144358391,400.247850402968
17,31,12,Corn,336N,Carbon,16.6170741084061,560.600593415316
18,31,12,Corn,336N,Nitrogen,10.6887837276563,336.938540076199
19,31,12,Corn,112N,Control,12.3602457066218,436.934853177238
20,31,12,Corn,112N,Carbon,14.9757247025118,514.107279345655
21,31,12,Corn,112N,Nitrogen,4.74035723052344,254.958330926287
22,31,12,Corn,336N,Control,27.6580786241421,755.28010883636
23,31,12,Corn,336N,Carbon,35.7230830032986,957.803001593229
24,31,12,Corn,336N,Nitrogen,31.684410053798,783.724567415067
25,31,12,Corn,336N,Control,30.3637615567058,850.89292898924
26,31,12,Corn,336N,Carbon,34.2600893080304,975.41568360921
27,31,12,Corn,336N,Nitrogen,27.7629494337074,790.081290127925
28,31,12,Corn,0N,Control,32.4595591942052,877.604677447515
29,31,12,Corn,0N,Carbon,34.1106442938588,868.447954068914
30,31,12,Corn,0N,Nitrogen,26.6108886799165,739.199143164526
31,31,12,Corn,112N,Control,17.3681849980689,569.182217271566
32,31,12,Corn,112N,Carbon,19.3693147653937,637.558752481879
33,31,12,Corn,112N,Nitrogen,14.6918628340391,492.162891025276
34,31,12,Corn,0N,Control,28.3233820381939,848.96290073755
35,31,12,Corn,0N,Carbon,29.5889413297436,937.25541280894
36,31,12,Corn,0N,Nitrogen,26.0731132689979,734.087985378142
37,31,12,Miscanthus,336N,Control,39.770867418981,1063.95733956859
38,31,12,Miscanthus,336N,Carbon,20.9896316208701,936.251288866748
39,31,12,Miscanthus,336N,Nitrogen,36.981698029464,970.158322468888
40,31,12,Miscanthus,112N,Control,31.8957072881044,806.941326320126
41,31,12,Miscanthus,112N,Carbon,32.0566533299258,988.98384911016
42,31,12,Miscanthus,112N,Nitrogen,29.7004034935817,846.409742532157
43,31,12,Miscanthus,336N,Control,7.98225949713932,294.44669253635
44,31,12,Miscanthus,336N,Carbon,9.22321178681016,389.657242181088
45,31,12,Miscanthus,336N,Nitrogen,5.99937654785786,214.228605387779
46,31,12,Miscanthus,112N,Control,8.10155010904498,255.808182050472
47,31,12,Miscanthus,112N,Carbon,15.0977051512744,486.748394588644
48,31,12,Miscanthus,112N,Nitrogen,8.23998495044577,239.265713784171
49,31,12,Miscanthus,0N,Control,30.4919833725059,987.121055662438
50,31,12,Miscanthus,0N,Carbon,35.2636588362289,1177.24095645834
51,31,12,Miscanthus,0N,Nitrogen,29.8853455013844,897.863667422554
52,31,12,Miscanthus,0N,Control,16.0430846959927,501.936669089194
53,31,12,Miscanthus,0N,Carbon,17.1539282071244,534.600999622173
54,31,12,Miscanthus,0N,Nitrogen,13.0850293347734,492.205064483965
55,31,12,Miscanthus,336N,Control,37.7124752465694,1004.98089291304
56,31,12,Miscanthus,336N,Carbon,41.5408144763022,1144.23420076953
57,31,12,Miscanthus,336N,Nitrogen,30.9243028189736,886.009063534734
58,31,12,Miscanthus,112N,Control,18.8878498220611,527.596598992488
59,31,12,Miscanthus,112N,Carbon,22.4055141412172,674.672332275276
60,31,12,Miscanthus,112N,Nitrogen,13.5665868613479,399.03816479832
61,31,12,Miscanthus,0N,Control,33.5374394733781,946.977900363735
62,31,12,Miscanthus,0N,Carbon,37.5932782870267,1072.41602463384
63,31,12,Miscanthus,0N,Nitrogen,30.7043505115915,859.568267737657
64,31,12,Miscanthus,336N,Control,13.1484789567906,422.816147321574
65,31,12,Miscanthus,336N,Carbon,15.3868226714541,559.201974491954
66,31,12,Miscanthus,336N,Nitrogen,11.0168098758037,371.004560146532
67,31,12,Miscanthus,0N,Control,45.6419379198938,1150.9839194759
68,31,12,Miscanthus,0N,Carbon,46.5654098144219,1166.62578454813
69,31,12,Miscanthus,0N,Nitrogen,45.2162181747273,1173.92084982614
70,31,12,Miscanthus,112N,Control,37.9400371067284,1022.85571146463
71,31,12,Miscanthus,112N,Carbon,46.5735561629278,1224.3571968472
72,31,12,Miscanthus,112N,Nitrogen,39.1692306174963,963.724490616374
1,38,14,Corn,0N,Control,27.4408854504746,1196.95232542453
2,38,14,Corn,0N,Carbon,38.6606423653876,1429.49062194617
3,38,14,Corn,0N,Nitrogen,28.3012824253646,1199.58329210148
4,38,14,Corn,112N,Control,21.6422751999055,910.118519121586
5,38,14,Corn,112N,Carbon,28.2199811005522,1073.97635041129
6,38,14,Corn,112N,Nitrogen,17.3597138980194,734.530378714264
7,38,14,Corn,0N,Control,13.4766666250931,594.099444111439
8,38,14,Corn,0N,Carbon,17.5802855853595,826.128929209899
9,38,14,Corn,0N,Nitrogen,12.6499418847337,516.987454107738
10,38,14,Corn,112N,Control,22.4554120725941,936.98358697863
11,38,14,Corn,112N,Carbon,32.9188684482783,1125.5143895283
12,38,14,Corn,112N,Nitrogen,24.6943343666657,946.299866428645
13,38,14,Corn,336N,Control,10.7380308803953,456.986024516036
14,38,14,Corn,336N,Carbon,11.5794850365627,597.421822303698
15,38,14,Corn,336N,Nitrogen,10.6761020766346,452.371573411112
16,38,14,Corn,336N,Control,11.5977891977848,481.432374787461
17,38,14,Corn,336N,Carbon,14.8493862157837,664.546296925802
18,38,14,Corn,336N,Nitrogen,8.69630129909746,397.812649169881
19,38,14,Corn,112N,Control,11.0613281774188,514.364150419169
20,38,14,Corn,112N,Carbon,15.6135447815621,623.40209281659
21,38,14,Corn,112N,Nitrogen,4.24576531580847,284.678688136947
22,38,14,Corn,336N,Control,21.9283046477342,908.7782413705
23,38,14,Corn,336N,Carbon,27.1773142332169,1148.04420122575
24,38,14,Corn,336N,Nitrogen,23.4970135822229,948.203662490627
25,38,14,Corn,336N,Control,21.7496250683415,1003.14030446763
26,38,14,Corn,336N,Carbon,28.4049679558487,1174.25045930015
27,38,14,Corn,336N,Nitrogen,24.0959050460502,958.752625450277
